ParkCode	Date	Type#	Day	VisitTeam	VisitLeague	VisitGame#	HomeTeam	HomeLeague	HomeGame#	VisitScore	HomeScore	GameLength	Winner	PARK_NAME	RUNS	HR	H	2B	3B	BB
CHI11	20160529	0	Sun	PHI	NL	50	CHN	NL	48	2	7	51	CHN	"Wrigley Field(Chicago, Illinois)"	0.874	0.819	0.928	0.93	1.045	1.066
DEN02	20160529	0	Sun	SFN	NL	52	COL	NL	49	8	3	54	SFN	"Coors Field(Denver, Colorado)"	1.368	1.265	1.231	1.405	1.39	1.078
MIL06	20160529	0	Sun	CIN	NL	50	MIL	NL	50	4	5	51	MIL	"Miller Park(Milwaukee, Wisconsin)"	0.972	1.126	0.961	1	1.037	0.977
NYC20	20160529	0	Sun	LAN	NL	51	NYN	NL	49	4	2	54	LAN	"Citi Field(New York, New York)"	0.988	1.09	0.887	0.838	0.455	1.168
WAS11	20160529	0	Sun	SLN	NL	51	WAS	NL	51	2	10	51	WAS	"Nationals Park(Washington, D.C.)"	0.956	1.023	0.974	0.891	0.806	0.972
ANA01	20160530	0	Mon	DET	AL	50	ANA	AL	51	1	5	51	ANA	"Angel Stadium of Anaheim(Anaheim, California)"	0.91	1.056	0.936	0.828	0.6	0.958
BAL12	20160530	0	Mon	BOS	AL	51	BAL	AL	49	7	2	54	BOS	"Oriole Park at Camden Yards(Baltimore, Maryland)"	0.953	1.009	0.967	0.834	0.846	0.975
CLE08	20160530	0	Mon	TEX	AL	51	CLE	AL	49	9	2	54	TEX	"Progressive Field(Cleveland, Ohio)"	1.207	1.168	1.115	1.299	0.507	1.119
KAN06	20160530	0	Mon	TBA	AL	49	KCA	AL	50	2	6	51	KCA	"Kauffman Stadium(Kansas City, Missouri)"	1.171	0.783	1.092	1.256	1.571	1.039
OAK01	20160530	0	Mon	MIN	AL	50	OAK	AL	52	2	3	51	OAK	"Oakland Coliseum(Oakland, California)"	0.829	0.727	0.921	0.954	1.043	0.872
