ParkCode	Date	Type#	Day	VisitTeam	VisitLeague	VisitGame#	HomeTeam	HomeLeague	HomeGame#	VisitScore	HomeScore	GameLength	Winner	Home/Away	PARK NAME	RUNS	HR	H	2B	3B	BB
DET05	20150409	0	Thu	MIN	AL	3	DET	AL	3	1	7	51	DET	Home	"Comerica Parkæ(Detroit, Michigan)"	0.902	0.791	0.966	0.977	1.353	0.988
HOU03	20150409	0	Thu	CLE	AL	3	HOU	AL	3	5	1	54	CLE	Visit	"Minute Maid Parkæ(Houston, Texas)"	0.927	1.1	0.954	0.963	1.52	0.951
KAN06	20150409	0	Thu	CHA	AL	3	KCA	AL	3	1	4	51	KCA	Home	"Kauffman Stadiumæ(Kansas City, Missouri)"	1.019	0.793	0.995	1.221	1.455	0.892
NYC21	20150409	0	Thu	TOR	AL	3	NYA	AL	3	6	3	54	TOR	Visit	"Yankee Stadiumæ(New York, New York)"	1.022	1.251	0.975	0.887	0.63	1
OAK01	20150409	0	Thu	TEX	AL	4	OAK	AL	4	10	1	54	TEX	Visit	"Oakland Coliseumæ(Oakland, California)"	0.944	0.777	0.964	0.967	1.185	0.906
CIN09	20150409	0	Thu	PIT	NL	3	CIN	NL	3	2	3	52	CIN	Home	"Great American Ball Parkæ(Cincinnati, Ohio)"	1.115	1.137	1.075	1.043	0.444	1.101
PHI13	20150409	0	Thu	BOS	AL	3	PHI	NL	3	6	2	54	BOS	Visit	"Citizens Bank Parkæ(Philadelphia, Pennsylvania)"	1.038	1.14	0.977	0.946	0.667	1.049
SAN02	20150409	0	Thu	SFN	NL	4	SDN	NL	4	1	0	72	SFN	Visit	"Petco Parkæ(San Diego, California)"	0.931	1.085	0.966	0.956	0.792	0.992
WAS11	20150409	0	Thu	NYN	NL	3	WAS	NL	3	6	3	54	NYN	Visit	"Nationals Parkæ(Washington, D.C.)"	1	1.025	0.992	1.049	0.5	1.043
ANA01	20150410	0	Fri	KCA	AL	4	ANA	AL	4	4	2	54	KCA	Visit	"Angel Stadium of Anaheimæ(Anaheim, California)"	0.861	0.921	0.939	0.863	0.739	1.025
BAL12	20150410	0	Fri	TOR	AL	4	BAL	AL	4	12	5	54	TOR	Visit	"Oriole Park at Camden Yardsæ(Baltimore, Maryland)"	1.228	1.415	1.121	0.978	0.775	0.936
CHI12	20150410	0	Fri	MIN	AL	4	CHA	AL	4	6	0	54	MIN	Visit	"Guaranteed Rate Fieldæ(Chicago, Illinois)"	0.904	1.113	0.953	0.873	0.833	1.234
CLE08	20150410	0	Fri	DET	AL	4	CLE	AL	4	8	4	54	DET	Visit	"Progressive Fieldæ(Cleveland, Ohio)"	1.261	0.986	1.169	1.44	0.774	1.115
NYC21	20150410	0	Fri	BOS	AL	4	NYA	AL	4	6	5	114	BOS	Visit	"Yankee Stadiumæ(New York, New York)"	1.022	1.251	0.975	0.887	0.63	1
OAK01	20150410	0	Fri	SEA	AL	4	OAK	AL	5	0	12	51	OAK	Home	"Oakland Coliseumæ(Oakland, California)"	0.944	0.777	0.964	0.967	1.185	0.906
ARL02	20150410	0	Fri	HOU	AL	4	TEX	AL	5	5	1	54	HOU	Visit	"Globe Life Park in Arlingtonæ(Arlington, Texas)"	1.141	1.066	1.107	1.102	0.946	1.133
PHO01	20150410	0	Fri	LAN	NL	4	ARI	NL	4	3	4	58	ARI	Home	"Chase Fieldæ(Phoenix, Arizona)"	1.062	0.856	1.047	1.207	1.786	1.025
ATL02	20150410	0	Fri	NYN	NL	4	ATL	NL	4	3	5	51	ATL	Home	"Turner Fieldæ(Cumberland, Georgia)"	0.937	0.72	0.915	0.971	0.759	1.114
CIN09	20150410	0	Fri	SLN	NL	3	CIN	NL	4	4	5	51	CIN	Home	"Great American Ball Parkæ(Cincinnati, Ohio)"	1.115	1.137	1.075	1.043	0.444	1.101
DEN02	20150410	0	Fri	CHN	NL	3	COL	NL	4	1	5	51	COL	Home	"Coors Fieldæ(Denver, Colorado)"	1.436	1.21	1.301	1.235	2	1.057
MIA02	20150410	0	Fri	TBA	AL	4	MIA	NL	4	9	10	58	MIA	Home	"Marlins Parkæ(Miami, Florida)"	0.95	0.74	0.99	0.94	1.226	1.078
MIL06	20150410	0	Fri	PIT	NL	4	MIL	NL	4	6	2	54	PIT	Visit	"Miller Parkæ(Milwaukee, Wisconsin)"	1.103	1.432	1.01	1.07	1.161	1.006
PHI13	20150410	0	Fri	WAS	NL	4	PHI	NL	4	1	4	51	PHI	Home	"Citizens Bank Parkæ(Philadelphia, Pennsylvania)"	1.038	1.14	0.977	0.946	0.667	1.049
SAN02	20150410	0	Fri	SFN	NL	5	SDN	NL	5	0	1	51	SDN	Home	"Petco Parkæ(San Diego, California)"	0.931	1.085	0.966	0.956	0.792	0.992
ANA01	20150411	0	Sat	KCA	AL	5	ANA	AL	5	6	4	54	KCA	Visit	"Angel Stadium of Anaheimæ(Anaheim, California)"	0.861	0.921	0.939	0.863	0.739	1.025
BAL12	20150411	0	Sat	TOR	AL	5	BAL	AL	5	1	7	51	BAL	Home	"Oriole Park at Camden Yardsæ(Baltimore, Maryland)"	1.228	1.415	1.121	0.978	0.775	0.936
CHI12	20150411	0	Sat	MIN	AL	5	CHA	AL	5	4	5	51	CHA	Home	"Guaranteed Rate Fieldæ(Chicago, Illinois)"	0.904	1.113	0.953	0.873	0.833	1.234
CLE08	20150411	0	Sat	DET	AL	5	CLE	AL	5	9	6	54	DET	Visit	"Progressive Fieldæ(Cleveland, Ohio)"	1.261	0.986	1.169	1.44	0.774	1.115
NYC21	20150411	0	Sat	BOS	AL	5	NYA	AL	5	8	4	54	BOS	Visit	"Yankee Stadiumæ(New York, New York)"	1.022	1.251	0.975	0.887	0.63	1
OAK01	20150411	0	Sat	SEA	AL	5	OAK	AL	6	5	4	66	SEA	Visit	"Oakland Coliseumæ(Oakland, California)"	0.944	0.777	0.964	0.967	1.185	0.906
ARL02	20150411	0	Sat	HOU	AL	5	TEX	AL	6	2	6	51	TEX	Home	"Globe Life Park in Arlingtonæ(Arlington, Texas)"	1.141	1.066	1.107	1.102	0.946	1.133
PHO01	20150411	0	Sat	LAN	NL	5	ARI	NL	5	0	6	51	ARI	Home	"Chase Fieldæ(Phoenix, Arizona)"	1.062	0.856	1.047	1.207	1.786	1.025
ATL02	20150411	0	Sat	NYN	NL	5	ATL	NL	5	3	5	51	ATL	Home	"Turner Fieldæ(Cumberland, Georgia)"	0.937	0.72	0.915	0.971	0.759	1.114
CIN09	20150411	0	Sat	SLN	NL	4	CIN	NL	5	4	1	54	SLN	Visit	"Great American Ball Parkæ(Cincinnati, Ohio)"	1.115	1.137	1.075	1.043	0.444	1.101
DEN02	20150411	0	Sat	CHN	NL	4	COL	NL	5	9	5	54	CHN	Visit	"Coors Fieldæ(Denver, Colorado)"	1.436	1.21	1.301	1.235	2	1.057
MIA02	20150411	0	Sat	TBA	AL	5	MIA	NL	5	2	0	54	TBA	Visit	"Marlins Parkæ(Miami, Florida)"	0.95	0.74	0.99	0.94	1.226	1.078
MIL06	20150411	0	Sat	PIT	NL	5	MIL	NL	5	0	6	51	MIL	Home	"Miller Parkæ(Milwaukee, Wisconsin)"	1.103	1.432	1.01	1.07	1.161	1.006
PHI13	20150411	0	Sat	WAS	NL	5	PHI	NL	5	2	3	58	PHI	Home	"Citizens Bank Parkæ(Philadelphia, Pennsylvania)"	1.038	1.14	0.977	0.946	0.667	1.049
SAN02	20150411	0	Sat	SFN	NL	6	SDN	NL	6	2	10	51	SDN	Home	"Petco Parkæ(San Diego, California)"	0.931	1.085	0.966	0.956	0.792	0.992
ANA01	20150412	0	Sun	KCA	AL	6	ANA	AL	6	9	2	54	KCA	Visit	"Angel Stadium of Anaheimæ(Anaheim, California)"	0.861	0.921	0.939	0.863	0.739	1.025
BAL12	20150412	0	Sun	TOR	AL	6	BAL	AL	6	10	7	54	TOR	Visit	"Oriole Park at Camden Yardsæ(Baltimore, Maryland)"	1.228	1.415	1.121	0.978	0.775	0.936
CHI12	20150412	0	Sun	MIN	AL	6	CHA	AL	6	2	6	51	CHA	Home	"Guaranteed Rate Fieldæ(Chicago, Illinois)"	0.904	1.113	0.953	0.873	0.833	1.234
CLE08	20150412	0	Sun	DET	AL	6	CLE	AL	6	8	5	54	DET	Visit	"Progressive Fieldæ(Cleveland, Ohio)"	1.261	0.986	1.169	1.44	0.774	1.115
NYC21	20150412	0	Sun	BOS	AL	6	NYA	AL	6	4	14	51	NYA	Home	"Yankee Stadiumæ(New York, New York)"	1.022	1.251	0.975	0.887	0.63	1
OAK01	20150412	0	Sun	SEA	AL	6	OAK	AL	7	8	7	60	SEA	Visit	"Oakland Coliseumæ(Oakland, California)"	0.944	0.777	0.964	0.967	1.185	0.906
ARL02	20150412	0	Sun	HOU	AL	6	TEX	AL	7	6	4	84	HOU	Visit	"Globe Life Park in Arlingtonæ(Arlington, Texas)"	1.141	1.066	1.107	1.102	0.946	1.133
PHO01	20150412	0	Sun	LAN	NL	6	ARI	NL	6	7	4	54	LAN	Visit	"Chase Fieldæ(Phoenix, Arizona)"	1.062	0.856	1.047	1.207	1.786	1.025
ATL02	20150412	0	Sun	NYN	NL	6	ATL	NL	6	4	3	54	NYN	Visit	"Turner Fieldæ(Cumberland, Georgia)"	0.937	0.72	0.915	0.971	0.759	1.114
CIN09	20150412	0	Sun	SLN	NL	5	CIN	NL	6	7	5	66	SLN	Visit	"Great American Ball Parkæ(Cincinnati, Ohio)"	1.115	1.137	1.075	1.043	0.444	1.101
DEN02	20150412	0	Sun	CHN	NL	5	COL	NL	6	6	5	54	CHN	Visit	"Coors Fieldæ(Denver, Colorado)"	1.436	1.21	1.301	1.235	2	1.057
MIA02	20150412	0	Sun	TBA	AL	6	MIA	NL	6	8	5	54	TBA	Visit	"Marlins Parkæ(Miami, Florida)"	0.95	0.74	0.99	0.94	1.226	1.078
MIL06	20150412	0	Sun	PIT	NL	6	MIL	NL	6	10	2	54	PIT	Visit	"Miller Parkæ(Milwaukee, Wisconsin)"	1.103	1.432	1.01	1.07	1.161	1.006
PHI13	20150412	0	Sun	WAS	NL	6	PHI	NL	6	4	3	60	WAS	Visit	"Citizens Bank Parkæ(Philadelphia, Pennsylvania)"	1.038	1.14	0.977	0.946	0.667	1.049
SAN02	20150412	0	Sun	SFN	NL	7	SDN	NL	7	4	6	51	SDN	Home	"Petco Parkæ(San Diego, California)"	0.931	1.085	0.966	0.956	0.792	0.992
BAL12	20150413	0	Mon	NYA	AL	7	BAL	AL	7	6	5	54	NYA	Visit	"Oriole Park at Camden Yardsæ(Baltimore, Maryland)"	1.228	1.415	1.121	0.978	0.775	0.936
BOS07	20150413	0	Mon	WAS	NL	7	BOS	AL	7	4	9	51	BOS	Home	"Fenway Parkæ(Boston, Massachusetts)"	1.191	0.971	1.103	1.281	1.031	0.92
HOU03	20150413	0	Mon	OAK	AL	8	HOU	AL	7	8	1	54	OAK	Visit	"Minute Maid Parkæ(Houston, Texas)"	0.927	1.1	0.954	0.963	1.52	0.951
MIN04	20150413	0	Mon	KCA	AL	7	MIN	AL	7	12	3	54	KCA	Visit	"Target Fieldæ(Minneapolis, Minnesota)"	0.994	1.058	1.039	0.979	0.816	0.954
ARL02	20150413	0	Mon	ANA	AL	7	TEX	AL	8	6	3	54	ANA	Visit	"Globe Life Park in Arlingtonæ(Arlington, Texas)"	1.141	1.066	1.107	1.102	0.946	1.133
TOR02	20150413	0	Mon	TBA	AL	7	TOR	AL	7	2	1	54	TBA	Visit	"Rogers Centreæ(Toronto, Ontario)"	0.906	1.005	0.926	1.076	0.958	0.998
ATL02	20150413	0	Mon	MIA	NL	7	ATL	NL	7	2	3	51	ATL	Home	"Turner Fieldæ(Cumberland, Georgia)"	0.937	0.72	0.915	0.971	0.759	1.114
CHI11	20150413	0	Mon	CIN	NL	7	CHN	NL	6	6	7	58	CHN	Home	"Wrigley Fieldæ(Chicago, Illinois)"	0.95	1.276	0.934	0.794	1.094	1.029
LOS03	20150413	0	Mon	SEA	AL	7	LAN	NL	7	5	6	59	LAN	Home	"Dodger Stadiumæ(Los Angeles, California)"	0.918	1	0.948	1.059	0.643	0.791
NYC20	20150413	0	Mon	PHI	NL	7	NYN	NL	7	0	2	51	NYN	Home	"Citi Fieldæ(New York, New York)"	0.87	0.994	0.912	0.934	0.905	0.998
PIT08	20150413	0	Mon	DET	AL	7	PIT	NL	7	4	5	51	PIT	Home	"PNC Parkæ(Pittsburgh, Pennsylvania)"	0.933	1.083	0.962	0.874	0.821	1
SAN02	20150413	0	Mon	ARI	NL	7	SDN	NL	8	8	4	54	ARI	Visit	"Petco Parkæ(San Diego, California)"	0.931	1.085	0.966	0.956	0.792	0.992
SFO03	20150413	0	Mon	COL	NL	7	SFN	NL	8	2	0	54	COL	Visit	"AT&T Parkæ(San Francisco, California)"	0.845	0.599	0.917	0.841	1.647	0.987
STL10	20150413	0	Mon	MIL	NL	7	SLN	NL	6	5	4	54	MIL	Visit	"Busch Stadiumæ(St. Louis, Missouri)"	0.931	0.857	1.055	1.008	1.031	0.924
BAL12	20150414	0	Tue	NYA	AL	8	BAL	AL	8	3	4	51	BAL	Home	"Oriole Park at Camden Yardsæ(Baltimore, Maryland)"	1.228	1.415	1.121	0.978	0.775	0.936
BOS07	20150414	0	Tue	WAS	NL	8	BOS	AL	8	7	8	51	BOS	Home	"Fenway Parkæ(Boston, Massachusetts)"	1.191	0.971	1.103	1.281	1.031	0.92
CLE08	20150414	0	Tue	CHA	AL	7	CLE	AL	7	4	1	54	CHA	Visit	"Progressive Fieldæ(Cleveland, Ohio)"	1.261	0.986	1.169	1.44	0.774	1.115
HOU03	20150414	0	Tue	OAK	AL	9	HOU	AL	8	4	0	54	OAK	Visit	"Minute Maid Parkæ(Houston, Texas)"	0.927	1.1	0.954	0.963	1.52	0.951
ARL02	20150414	0	Tue	ANA	AL	8	TEX	AL	9	2	8	51	TEX	Home	"Globe Life Park in Arlingtonæ(Arlington, Texas)"	1.141	1.066	1.107	1.102	0.946	1.133
