ParkCode	Date	Type#	Day	VisitTeam	VisitLeague	VisitGame#	HomeTeam	HomeLeague	HomeGame#	VisitScore	HomeScore	GameLength	Winner	PARK NAME	RUNS	HR	H	2B	3B	BB
TOR02	20150522	0	Fri	SEA	AL	41	TOR	AL	44	4	3	54	SEA	"Rogers Centre(Toronto, Ontario)"	0.906	1.005	0.926	1.076	0.958	0.998
PHO01	20150522	0	Fri	CHN	NL	41	ARI	NL	41	4	5	76	ARI	"Chase Field(Phoenix, Arizona)"	1.062	0.856	1.047	1.207	1.786	1.025
ATL02	20150522	0	Fri	MIL	NL	43	ATL	NL	41	11	0	54	MIL	"Turner Field(Cumberland, Georgia)"	0.937	0.72	0.915	0.971	0.759	1.114
DEN02	20150522	0	Fri	SFN	NL	42	COL	NL	39	11	8	54	SFN	"Coors Field(Denver, Colorado)"	1.436	1.21	1.301	1.235	2	1.057
LOS03	20150522	0	Fri	SDN	NL	43	LAN	NL	41	1	2	51	LAN	"Dodger Stadium(Los Angeles, California)"	0.918	1	0.948	1.059	0.643	0.791
MIA02	20150522	0	Fri	BAL	AL	39	MIA	NL	43	8	5	54	BAL	"Marlins Park(Miami, Florida)"	0.95	0.74	0.99	0.94	1.226	1.078
PIT08	20150522	0	Fri	NYN	NL	43	PIT	NL	41	1	4	51	PIT	"PNC Park(Pittsburgh, Pennsylvania)"	0.933	1.083	0.962	0.874	0.821	1
WAS11	20150522	0	Fri	PHI	NL	44	WAS	NL	42	1	2	51	WAS	"Nationals Park(Washington, D.C.)"	1	1.025	0.992	1.049	0.5	1.043
BOS07	20150523	0	Sat	ANA	AL	43	BOS	AL	43	3	8	51	BOS	"Fenway Park(Boston, Massachusetts)"	1.191	0.971	1.103	1.281	1.031	0.92
CHI12	20150523	0	Sat	MIN	AL	42	CHA	AL	40	4	3	54	MIN	"Guaranteed Rate Field(Chicago, Illinois)"	0.904	1.113	0.953	0.873	0.833	1.234
CLE08	20150523	0	Sat	CIN	NL	42	CLE	AL	42	1	2	51	CLE	"Progressive Field(Cleveland, Ohio)"	1.261	0.986	1.169	1.44	0.774	1.115
DET05	20150523	0	Sat	HOU	AL	44	DET	AL	44	3	2	54	HOU	"Comerica Park(Detroit, Michigan)"	0.902	0.791	0.966	0.977	1.353	0.988
KAN06	20150523	0	Sat	SLN	NL	43	KCA	AL	42	2	3	33	KCA	"Kauffman Stadium(Kansas City, Missouri)"	1.019	0.793	0.995	1.221	1.455	0.892
NYC21	20150523	0	Sat	TEX	AL	43	NYA	AL	43	15	4	54	TEX	"Yankee Stadium(New York, New York)"	1.022	1.251	0.975	0.887	0.63	1
STP01	20150523	0	Sat	OAK	AL	45	TBA	AL	44	5	0	54	OAK	"Tropicana Field(St. Petersburg, Florida)"	0.94	0.962	0.939	0.832	0.704	0.895
TOR02	20150523	0	Sat	SEA	AL	42	TOR	AL	45	3	2	54	SEA	"Rogers Centre(Toronto, Ontario)"	0.906	1.005	0.926	1.076	0.958	0.998
PHO01	20150523	0	Sat	CHN	NL	42	ARI	NL	42	9	6	54	CHN	"Chase Field(Phoenix, Arizona)"	1.062	0.856	1.047	1.207	1.786	1.025
ATL02	20150523	0	Sat	MIL	NL	44	ATL	NL	42	2	3	65	ATL	"Turner Field(Cumberland, Georgia)"	0.937	0.72	0.915	0.971	0.759	1.114
DEN02	20150523	1	Sat	SFN	NL	43	COL	NL	40	10	8	54	SFN	"Coors Field(Denver, Colorado)"	1.436	1.21	1.301	1.235	2	1.057
DEN02	20150523	2	Sat	SFN	NL	44	COL	NL	41	3	5	51	COL	"Coors Field(Denver, Colorado)"	1.436	1.21	1.301	1.235	2	1.057
LOS03	20150523	0	Sat	SDN	NL	44	LAN	NL	42	0	2	51	LAN	"Dodger Stadium(Los Angeles, California)"	0.918	1	0.948	1.059	0.643	0.791
MIA02	20150523	0	Sat	BAL	AL	40	MIA	NL	44	0	1	77	MIA	"Marlins Park(Miami, Florida)"	0.95	0.74	0.99	0.94	1.226	1.078
PIT08	20150523	0	Sat	NYN	NL	44	PIT	NL	42	2	8	51	PIT	"PNC Park(Pittsburgh, Pennsylvania)"	0.933	1.083	0.962	0.874	0.821	1
WAS11	20150523	0	Sat	PHI	NL	45	WAS	NL	43	8	1	54	PHI	"Nationals Park(Washington, D.C.)"	1	1.025	0.992	1.049	0.5	1.043
BOS07	20150524	0	Sun	ANA	AL	44	BOS	AL	44	1	6	51	BOS	"Fenway Park(Boston, Massachusetts)"	1.191	0.971	1.103	1.281	1.031	0.92
CHI12	20150524	0	Sun	MIN	AL	43	CHA	AL	41	8	1	54	MIN	"Guaranteed Rate Field(Chicago, Illinois)"	0.904	1.113	0.953	0.873	0.833	1.234
CLE08	20150524	0	Sun	CIN	NL	43	CLE	AL	43	2	5	51	CLE	"Progressive Field(Cleveland, Ohio)"	1.261	0.986	1.169	1.44	0.774	1.115
DET05	20150524	0	Sun	HOU	AL	45	DET	AL	45	10	8	54	HOU	"Comerica Park(Detroit, Michigan)"	0.902	0.791	0.966	0.977	1.353	0.988
KAN06	20150524	0	Sun	SLN	NL	44	KCA	AL	43	6	1	54	SLN	"Kauffman Stadium(Kansas City, Missouri)"	1.019	0.793	0.995	1.221	1.455	0.892
NYC21	20150524	0	Sun	TEX	AL	44	NYA	AL	44	5	2	54	TEX	"Yankee Stadium(New York, New York)"	1.022	1.251	0.975	0.887	0.63	1
STP01	20150524	0	Sun	OAK	AL	46	TBA	AL	45	7	2	54	OAK	"Tropicana Field(St. Petersburg, Florida)"	0.94	0.962	0.939	0.832	0.704	0.895
TOR02	20150524	0	Sun	SEA	AL	43	TOR	AL	46	2	8	51	TOR	"Rogers Centre(Toronto, Ontario)"	0.906	1.005	0.926	1.076	0.958	0.998
PHO01	20150524	0	Sun	CHN	NL	43	ARI	NL	43	3	4	51	ARI	"Chase Field(Phoenix, Arizona)"	1.062	0.856	1.047	1.207	1.786	1.025
ATL02	20150524	0	Sun	MIL	NL	45	ATL	NL	43	1	2	51	ATL	"Turner Field(Cumberland, Georgia)"	0.937	0.72	0.915	0.971	0.759	1.114
DEN02	20150524	0	Sun	SFN	NL	45	COL	NL	42	2	11	51	COL	"Coors Field(Denver, Colorado)"	1.436	1.21	1.301	1.235	2	1.057
LOS03	20150524	0	Sun	SDN	NL	45	LAN	NL	43	11	3	54	SDN	"Dodger Stadium(Los Angeles, California)"	0.918	1	0.948	1.059	0.643	0.791
MIA02	20150524	0	Sun	BAL	AL	41	MIA	NL	45	2	5	51	MIA	"Marlins Park(Miami, Florida)"	0.95	0.74	0.99	0.94	1.226	1.078
PIT08	20150524	0	Sun	NYN	NL	45	PIT	NL	43	1	9	51	PIT	"PNC Park(Pittsburgh, Pennsylvania)"	0.933	1.083	0.962	0.874	0.821	1
WAS11	20150524	0	Sun	PHI	NL	46	WAS	NL	44	1	4	51	WAS	"Nationals Park(Washington, D.C.)"	1	1.025	0.992	1.049	0.5	1.043
ANA01	20150525	0	Mon	SDN	NL	46	ANA	AL	45	3	4	53	ANA	"Angel Stadium of Anaheim(Anaheim, California)"	0.861	0.921	0.939	0.863	0.739	1.025
BAL12	20150525	0	Mon	HOU	AL	46	BAL	AL	42	3	4	51	BAL	"Oriole Park at Camden Yards(Baltimore, Maryland)"	1.228	1.415	1.121	0.978	0.775	0.936
CLE08	20150525	0	Mon	TEX	AL	45	CLE	AL	44	10	8	54	TEX	"Progressive Field(Cleveland, Ohio)"	1.261	0.986	1.169	1.44	0.774	1.115
MIN04	20150525	0	Mon	BOS	AL	45	MIN	AL	44	2	7	51	MIN	"Target Field(Minneapolis, Minnesota)"	0.994	1.058	1.039	0.979	0.816	0.954
NYC21	20150525	0	Mon	KCA	AL	44	NYA	AL	45	1	14	51	NYA	"Yankee Stadium(New York, New York)"	1.022	1.251	0.975	0.887	0.63	1
OAK01	20150525	0	Mon	DET	AL	46	OAK	AL	47	0	4	51	OAK	"Oakland Coliseum(Oakland, California)"	0.944	0.777	0.964	0.967	1.185	0.906
STP01	20150525	0	Mon	SEA	AL	44	TBA	AL	46	4	1	54	SEA	"Tropicana Field(St. Petersburg, Florida)"	0.94	0.962	0.939	0.832	0.704	0.895
TOR02	20150525	0	Mon	CHA	AL	42	TOR	AL	47	0	6	51	TOR	"Rogers Centre(Toronto, Ontario)"	0.906	1.005	0.926	1.076	0.958	0.998
CHI11	20150525	0	Mon	WAS	NL	45	CHN	NL	44	2	1	54	WAS	"Wrigley Field(Chicago, Illinois)"	0.95	1.276	0.934	0.794	1.094	1.029
CIN09	20150525	0	Mon	COL	NL	43	CIN	NL	44	5	4	54	COL	"Great American Ball Park(Cincinnati, Ohio)"	1.115	1.137	1.075	1.043	0.444	1.101
LOS03	20150525	0	Mon	ATL	NL	44	LAN	NL	44	3	6	51	LAN	"Dodger Stadium(Los Angeles, California)"	0.918	1	0.948	1.059	0.643	0.791
MIL06	20150525	0	Mon	SFN	NL	46	MIL	NL	46	8	4	54	SFN	"Miller Park(Milwaukee, Wisconsin)"	1.103	1.432	1.01	1.07	1.161	1.006
NYC20	20150525	0	Mon	PHI	NL	47	NYN	NL	46	3	6	51	NYN	"Citi Field(New York, New York)"	0.87	0.994	0.912	0.934	0.905	0.998
PIT08	20150525	0	Mon	MIA	NL	46	PIT	NL	44	2	4	51	PIT	"PNC Park(Pittsburgh, Pennsylvania)"	0.933	1.083	0.962	0.874	0.821	1
STL10	20150525	0	Mon	ARI	NL	44	SLN	NL	45	2	3	57	SLN	"Busch Stadium(St. Louis, Missouri)"	0.931	0.857	1.055	1.008	1.031	0.924
ANA01	20150526	0	Tue	SDN	NL	47	ANA	AL	46	4	0	60	SDN	"Angel Stadium of Anaheim(Anaheim, California)"	0.861	0.921	0.939	0.863	0.739	1.025
BAL12	20150526	0	Tue	HOU	AL	47	BAL	AL	43	4	1	54	HOU	"Oriole Park at Camden Yards(Baltimore, Maryland)"	1.228	1.415	1.121	0.978	0.775	0.936
CLE08	20150526	0	Tue	TEX	AL	46	CLE	AL	45	4	3	54	TEX	"Progressive Field(Cleveland, Ohio)"	1.261	0.986	1.169	1.44	0.774	1.115
MIN04	20150526	0	Tue	BOS	AL	46	MIN	AL	45	1	2	51	MIN	"Target Field(Minneapolis, Minnesota)"	0.994	1.058	1.039	0.979	0.816	0.954
NYC21	20150526	0	Tue	KCA	AL	45	NYA	AL	46	1	5	51	NYA	"Yankee Stadium(New York, New York)"	1.022	1.251	0.975	0.887	0.63	1
OAK01	20150526	0	Tue	DET	AL	47	OAK	AL	48	1	0	54	DET	"Oakland Coliseum(Oakland, California)"	0.944	0.777	0.964	0.967	1.185	0.906
STP01	20150526	0	Tue	SEA	AL	45	TBA	AL	47	7	6	60	SEA	"Tropicana Field(St. Petersburg, Florida)"	0.94	0.962	0.939	0.832	0.704	0.895
TOR02	20150526	0	Tue	CHA	AL	43	TOR	AL	48	9	10	51	TOR	"Rogers Centre(Toronto, Ontario)"	0.906	1.005	0.926	1.076	0.958	0.998
CHI11	20150526	0	Tue	WAS	NL	46	CHN	NL	45	2	3	53	CHN	"Wrigley Field(Chicago, Illinois)"	0.95	1.276	0.934	0.794	1.094	1.029
CIN09	20150526	0	Tue	COL	NL	44	CIN	NL	45	1	2	52	CIN	"Great American Ball Park(Cincinnati, Ohio)"	1.115	1.137	1.075	1.043	0.444	1.101
LOS03	20150526	0	Tue	ATL	NL	45	LAN	NL	45	0	8	51	LAN	"Dodger Stadium(Los Angeles, California)"	0.918	1	0.948	1.059	0.643	0.791
MIL06	20150526	0	Tue	SFN	NL	47	MIL	NL	47	6	3	54	SFN	"Miller Park(Milwaukee, Wisconsin)"	1.103	1.432	1.01	1.07	1.161	1.006
NYC20	20150526	0	Tue	PHI	NL	48	NYN	NL	47	4	5	59	NYN	"Citi Field(New York, New York)"	0.87	0.994	0.912	0.934	0.905	0.998
PIT08	20150526	0	Tue	MIA	NL	47	PIT	NL	45	1	5	51	PIT	"PNC Park(Pittsburgh, Pennsylvania)"	0.933	1.083	0.962	0.874	0.821	1
STL10	20150526	0	Tue	ARI	NL	45	SLN	NL	46	4	6	51	SLN	"Busch Stadium(St. Louis, Missouri)"	0.931	0.857	1.055	1.008	1.031	0.924
ANA01	20150527	0	Wed	SDN	NL	48	ANA	AL	47	5	4	54	SDN	"Angel Stadium of Anaheim(Anaheim, California)"	0.861	0.921	0.939	0.863	0.739	1.025
BAL12	20150527	0	Wed	HOU	AL	48	BAL	AL	44	4	5	51	BAL	"Oriole Park at Camden Yards(Baltimore, Maryland)"	1.228	1.415	1.121	0.978	0.775	0.936
CLE08	20150527	0	Wed	TEX	AL	47	CLE	AL	46	3	12	51	CLE	"Progressive Field(Cleveland, Ohio)"	1.261	0.986	1.169	1.44	0.774	1.115
MIN04	20150527	0	Wed	BOS	AL	47	MIN	AL	46	4	6	51	MIN	"Target Field(Minneapolis, Minnesota)"	0.994	1.058	1.039	0.979	0.816	0.954
NYC21	20150527	0	Wed	KCA	AL	46	NYA	AL	47	2	4	51	NYA	"Yankee Stadium(New York, New York)"	1.022	1.251	0.975	0.887	0.63	1
OAK01	20150527	0	Wed	DET	AL	48	OAK	AL	49	3	2	54	DET	"Oakland Coliseum(Oakland, California)"	0.944	0.777	0.964	0.967	1.185	0.906
STP01	20150527	0	Wed	SEA	AL	46	TBA	AL	48	3	0	54	SEA	"Tropicana Field(St. Petersburg, Florida)"	0.94	0.962	0.939	0.832	0.704	0.895
TOR02	20150527	0	Wed	CHA	AL	44	TOR	AL	49	5	3	60	CHA	"Rogers Centre(Toronto, Ontario)"	0.906	1.005	0.926	1.076	0.958	0.998
CHI11	20150527	0	Wed	WAS	NL	47	CHN	NL	46	3	0	54	WAS	"Wrigley Field(Chicago, Illinois)"	0.95	1.276	0.934	0.794	1.094	1.029
CIN09	20150527	0	Wed	COL	NL	45	CIN	NL	46	6	4	54	COL	"Great American Ball Park(Cincinnati, Ohio)"	1.115	1.137	1.075	1.043	0.444	1.101
LOS03	20150527	0	Wed	ATL	NL	46	LAN	NL	46	3	2	54	ATL	"Dodger Stadium(Los Angeles, California)"	0.918	1	0.948	1.059	0.643	0.791
MIL06	20150527	0	Wed	SFN	NL	48	MIL	NL	48	3	1	54	SFN	"Miller Park(Milwaukee, Wisconsin)"	1.103	1.432	1.01	1.07	1.161	1.006
NYC20	20150527	0	Wed	PHI	NL	49	NYN	NL	48	0	7	51	NYN	"Citi Field(New York, New York)"	0.87	0.994	0.912	0.934	0.905	0.998
PIT08	20150527	0	Wed	MIA	NL	48	PIT	NL	46	2	5	51	PIT	"PNC Park(Pittsburgh, Pennsylvania)"	0.933	1.083	0.962	0.874	0.821	1
STL10	20150527	0	Wed	ARI	NL	46	SLN	NL	47	3	4	53	SLN	"Busch Stadium(St. Louis, Missouri)"	0.931	0.857	1.055	1.008	1.031	0.924
ANA01	20150528	0	Thu	DET	AL	49	ANA	AL	48	2	12	51	ANA	"Angel Stadium of Anaheim(Anaheim, California)"	0.861	0.921	0.939	0.863	0.739	1.025
BAL12	20150528	1	Thu	CHA	AL	45	BAL	AL	45	3	2	54	CHA	"Oriole Park at Camden Yards(Baltimore, Maryland)"	1.228	1.415	1.121	0.978	0.775	0.936
BAL12	20150528	2	Thu	CHA	AL	46	BAL	AL	46	3	6	51	BAL	"Oriole Park at Camden Yards(Baltimore, Maryland)"	1.228	1.415	1.121	0.978	0.775	0.936
OAK01	20150528	0	Thu	NYA	AL	48	OAK	AL	50	4	5	51	OAK	"Oakland Coliseum(Oakland, California)"	0.944	0.777	0.964	0.967	1.185	0.906
SEA03	20150528	0	Thu	CLE	AL	47	SEA	AL	47	5	3	54	CLE	"Safeco Field(Seattle, Washington)"	0.878	0.905	0.917	0.829	0.8	0.954
ARL02	20150528	0	Thu	BOS	AL	48	TEX	AL	48	5	1	54	BOS	"Globe Life Park in Arlington(Arlington, Texas)"	1.141	1.066	1.107	1.102	0.946	1.133
SAN02	20150528	0	Thu	PIT	NL	47	SDN	NL	49	11	5	54	PIT	"Petco Park(San Diego, California)"	0.931	1.085	0.966	0.956	0.792	0.992
SFO03	20150528	0	Thu	ATL	NL	47	SFN	NL	49	0	7	51	SFN	"AT&T Park(San Francisco, California)"	0.845	0.599	0.917	0.841	1.647	0.987
ANA01	20150529	0	Fri	DET	AL	50	ANA	AL	49	0	2	51	ANA	"Angel Stadium of Anaheim(Anaheim, California)"	0.861	0.921	0.939	0.863	0.739	1.025
BAL12	20150529	0	Fri	TBA	AL	49	BAL	AL	47	1	2	53	BAL	"Oriole Park at Camden Yards(Baltimore, Maryland)"	1.228	1.415	1.121	0.978	0.775	0.936
HOU03	20150529	0	Fri	CHA	AL	47	HOU	AL	49	6	3	66	CHA	"Minute Maid Park(Houston, Texas)"	0.927	1.1	0.954	0.963	1.52	0.951
MIN04	20150529	0	Fri	TOR	AL	50	MIN	AL	47	6	4	54	TOR	"Target Field(Minneapolis, Minnesota)"	0.994	1.058	1.039	0.979	0.816	0.954
OAK01	20150529	0	Fri	NYA	AL	49	OAK	AL	51	2	6	51	OAK	"Oakland Coliseum(Oakland, California)"	0.944	0.777	0.964	0.967	1.185	0.906
SEA03	20150529	0	Fri	CLE	AL	48	SEA	AL	48	1	2	51	SEA	"Safeco Field(Seattle, Washington)"	0.878	0.905	0.917	0.829	0.8	0.954
ARL02	20150529	0	Fri	BOS	AL	49	TEX	AL	49	4	7	51	TEX	"Globe Life Park in Arlington(Arlington, Texas)"	1.141	1.066	1.107	1.102	0.946	1.133
CHI11	20150529	0	Fri	KCA	AL	47	CHN	NL	47	8	4	54	KCA	"Wrigley Field(Chicago, Illinois)"	0.95	1.276	0.934	0.794	1.094	1.029
CIN09	20150529	0	Fri	WAS	NL	48	CIN	NL	47	2	5	51	CIN	"Great American Ball Park(Cincinnati, Ohio)"	1.115	1.137	1.075	1.043	0.444	1.101
MIL06	20150529	0	Fri	ARI	NL	47	MIL	NL	49	7	5	54	ARI	"Miller Park(Milwaukee, Wisconsin)"	1.103	1.432	1.01	1.07	1.161	1.006
NYC20	20150529	0	Fri	MIA	NL	49	NYN	NL	49	4	3	54	MIA	"Citi Field(New York, New York)"	0.87	0.994	0.912	0.934	0.905	0.998
PHI13	20150529	0	Fri	COL	NL	46	PHI	NL	50	4	1	54	COL	"Citizens Bank Park(Philadelphia, Pennsylvania)"	1.038	1.14	0.977	0.946	0.667	1.049
SAN02	20150529	0	Fri	PIT	NL	48	SDN	NL	50	2	6	53	SDN	"Petco Park(San Diego, California)"	0.931	1.085	0.966	0.956	0.792	0.992
SFO03	20150529	0	Fri	ATL	NL	48	SFN	NL	50	2	4	51	SFN	"AT&T Park(San Francisco, California)"	0.845	0.599	0.917	0.841	1.647	0.987
STL10	20150529	0	Fri	LAN	NL	47	SLN	NL	48	0	3	51	SLN	"Busch Stadium(St. Louis, Missouri)"	0.931	0.857	1.055	1.008	1.031	0.924
ANA01	20150530	0	Sat	DET	AL	51	ANA	AL	50	6	8	51	ANA	"Angel Stadium of Anaheim(Anaheim, California)"	0.861	0.921	0.939	0.863	0.739	1.025
BAL12	20150530	0	Sat	TBA	AL	50	BAL	AL	48	3	0	54	TBA	"Oriole Park at Camden Yards(Baltimore, Maryland)"	1.228	1.415	1.121	0.978	0.775	0.936
HOU03	20150530	0	Sat	CHA	AL	48	HOU	AL	50	0	3	51	HOU	"Minute Maid Park(Houston, Texas)"	0.927	1.1	0.954	0.963	1.52	0.951
MIN04	20150530	0	Sat	TOR	AL	51	MIN	AL	48	2	3	51	MIN	"Target Field(Minneapolis, Minnesota)"	0.994	1.058	1.039	0.979	0.816	0.954
OAK01	20150530	0	Sat	NYA	AL	50	OAK	AL	52	5	3	54	NYA	"Oakland Coliseum(Oakland, California)"	0.944	0.777	0.964	0.967	1.185	0.906
SEA03	20150530	0	Sat	CLE	AL	49	SEA	AL	49	4	3	54	CLE	"Safeco Field(Seattle, Washington)"	0.878	0.905	0.917	0.829	0.8	0.954
ARL02	20150530	0	Sat	BOS	AL	50	TEX	AL	50	0	8	51	TEX	"Globe Life Park in Arlington(Arlington, Texas)"	1.141	1.066	1.107	1.102	0.946	1.133
CIN09	20150530	0	Sat	WAS	NL	49	CIN	NL	48	5	8	51	CIN	"Great American Ball Park(Cincinnati, Ohio)"	1.115	1.137	1.075	1.043	0.444	1.101
MIL06	20150530	0	Sat	ARI	NL	48	MIL	NL	50	7	3	54	ARI	"Miller Park(Milwaukee, Wisconsin)"	1.103	1.432	1.01	1.07	1.161	1.006
NYC20	20150530	0	Sat	MIA	NL	50	NYN	NL	50	9	5	54	MIA	"Citi Field(New York, New York)"	0.87	0.994	0.912	0.934	0.905	0.998
PHI13	20150530	0	Sat	COL	NL	47	PHI	NL	51	5	2	54	COL	"Citizens Bank Park(Philadelphia, Pennsylvania)"	1.038	1.14	0.977	0.946	0.667	1.049
SAN02	20150530	0	Sat	PIT	NL	49	SDN	NL	51	5	2	54	PIT	"Petco Park(San Diego, California)"	0.931	1.085	0.966	0.956	0.792	0.992
SFO03	20150530	0	Sat	ATL	NL	49	SFN	NL	51	8	0	54	ATL	"AT&T Park(San Francisco, California)"	0.845	0.599	0.917	0.841	1.647	0.987
STL10	20150530	0	Sat	LAN	NL	48	SLN	NL	49	5	1	54	LAN	"Busch Stadium(St. Louis, Missouri)"	0.931	0.857	1.055	1.008	1.031	0.924
ANA01	20150531	0	Sun	DET	AL	52	ANA	AL	51	2	4	51	ANA	"Angel Stadium of Anaheim(Anaheim, California)"	0.861	0.921	0.939	0.863	0.739	1.025
BAL12	20150531	0	Sun	TBA	AL	51	BAL	AL	49	9	5	54	TBA	"Oriole Park at Camden Yards(Baltimore, Maryland)"	1.228	1.415	1.121	0.978	0.775	0.936
HOU03	20150531	0	Sun	CHA	AL	49	HOU	AL	51	6	0	54	CHA	"Minute Maid Park(Houston, Texas)"	0.927	1.1	0.954	0.963	1.52	0.951
MIN04	20150531	0	Sun	TOR	AL	52	MIN	AL	49	5	6	51	MIN	"Target Field(Minneapolis, Minnesota)"	0.994	1.058	1.039	0.979	0.816	0.954
OAK01	20150531	0	Sun	NYA	AL	51	OAK	AL	53	0	3	51	OAK	"Oakland Coliseum(Oakland, California)"	0.944	0.777	0.964	0.967	1.185	0.906
SEA03	20150531	0	Sun	CLE	AL	50	SEA	AL	50	6	3	72	CLE	"Safeco Field(Seattle, Washington)"	0.878	0.905	0.917	0.829	0.8	0.954
ARL02	20150531	0	Sun	BOS	AL	51	TEX	AL	51	3	4	53	TEX	"Globe Life Park in Arlington(Arlington, Texas)"	1.141	1.066	1.107	1.102	0.946	1.133
CHI11	20150531	0	Sun	KCA	AL	48	CHN	NL	48	1	2	64	CHN	"Wrigley Field(Chicago, Illinois)"	0.95	1.276	0.934	0.794	1.094	1.029
CIN09	20150531	0	Sun	WAS	NL	50	CIN	NL	49	2	8	51	CIN	"Great American Ball Park(Cincinnati, Ohio)"	1.115	1.137	1.075	1.043	0.444	1.101
MIL06	20150531	0	Sun	ARI	NL	49	MIL	NL	51	6	7	100	MIL	"Miller Park(Milwaukee, Wisconsin)"	1.103	1.432	1.01	1.07	1.161	1.006
NYC20	20150531	0	Sun	MIA	NL	51	NYN	NL	51	3	4	51	NYN	"Citi Field(New York, New York)"	0.87	0.994	0.912	0.934	0.905	0.998
PHI13	20150531	0	Sun	COL	NL	48	PHI	NL	52	4	1	54	COL	"Citizens Bank Park(Philadelphia, Pennsylvania)"	1.038	1.14	0.977	0.946	0.667	1.049
SAN02	20150531	0	Sun	PIT	NL	50	SDN	NL	52	1	7	51	SDN	"Petco Park(San Diego, California)"	0.931	1.085	0.966	0.956	0.792	0.992
SFO03	20150531	0	Sun	ATL	NL	50	SFN	NL	52	7	5	54	ATL	"AT&T Park(San Francisco, California)"	0.845	0.599	0.917	0.841	1.647	0.987
STL10	20150531	0	Sun	LAN	NL	49	SLN	NL	50	1	3	51	SLN	"Busch Stadium(St. Louis, Missouri)"	0.931	0.857	1.055	1.008	1.031	0.924
ANA01	20150601	0	Mon	TBA	AL	52	ANA	AL	52	3	7	51	ANA	"Angel Stadium of Anaheim(Anaheim, California)"	0.861	0.921	0.939	0.863	0.739	1.025
HOU03	20150601	0	Mon	BAL	AL	50	HOU	AL	52	2	5	51	HOU	"Minute Maid Park(Houston, Texas)"	0.927	1.1	0.954	0.963	1.52	0.951
SEA03	20150601	0	Mon	NYA	AL	52	SEA	AL	51	7	2	54	NYA	"Safeco Field(Seattle, Washington)"	0.878	0.905	0.917	0.829	0.8	0.954
PHO01	20150601	0	Mon	ATL	NL	51	ARI	NL	50	8	1	54	ATL	"Chase Field(Phoenix, Arizona)"	1.062	0.856	1.047	1.207	1.786	1.025
DEN02	20150601	0	Mon	LAN	NL	50	COL	NL	49	11	4	54	LAN	"Coors Field(Denver, Colorado)"	1.436	1.21	1.301	1.235	2	1.057
MIA02	20150601	0	Mon	CHN	NL	49	MIA	NL	52	5	1	54	CHN	"Marlins Park(Miami, Florida)"	0.95	0.74	0.99	0.94	1.226	1.078
SAN02	20150601	0	Mon	NYN	NL	52	SDN	NL	53	7	0	54	NYN	"Petco Park(San Diego, California)"	0.931	1.085	0.966	0.956	0.792	0.992
SFO03	20150601	0	Mon	PIT	NL	51	SFN	NL	53	4	3	54	PIT	"AT&T Park(San Francisco, California)"	0.845	0.599	0.917	0.841	1.647	0.987
STL10	20150601	0	Mon	MIL	NL	52	SLN	NL	51	1	0	54	MIL	"Busch Stadium(St. Louis, Missouri)"	0.931	0.857	1.055	1.008	1.031	0.924
ANA01	20150602	0	Tue	TBA	AL	53	ANA	AL	53	6	1	54	TBA	"Angel Stadium of Anaheim(Anaheim, California)"	0.861	0.921	0.939	0.863	0.739	1.025
BOS07	20150602	0	Tue	MIN	AL	50	BOS	AL	52	0	1	51	BOS	"Fenway Park(Boston, Massachusetts)"	1.191	0.971	1.103	1.281	1.031	0.92
DET05	20150602	0	Tue	OAK	AL	54	DET	AL	53	5	3	54	OAK	"Comerica Park(Detroit, Michigan)"	0.902	0.791	0.966	0.977	1.353	0.988
HOU03	20150602	0	Tue	BAL	AL	51	HOU	AL	53	4	6	51	HOU	"Minute Maid Park(Houston, Texas)"	0.927	1.1	0.954	0.963	1.52	0.951
KAN06	20150602	0	Tue	CLE	AL	51	KCA	AL	49	2	1	54	CLE	"Kauffman Stadium(Kansas City, Missouri)"	1.019	0.793	0.995	1.221	1.455	0.892
SEA03	20150602	0	Tue	NYA	AL	53	SEA	AL	52	5	3	66	NYA	"Safeco Field(Seattle, Washington)"	0.878	0.905	0.917	0.829	0.8	0.954
ARL02	20150602	0	Tue	CHA	AL	50	TEX	AL	52	2	15	51	TEX	"Globe Life Park in Arlington(Arlington, Texas)"	1.141	1.066	1.107	1.102	0.946	1.133
PHO01	20150602	0	Tue	ATL	NL	52	ARI	NL	51	6	7	51	ARI	"Chase Field(Phoenix, Arizona)"	1.062	0.856	1.047	1.207	1.786	1.025
DEN02	20150602	1	Tue	LAN	NL	51	COL	NL	50	3	6	51	COL	"Coors Field(Denver, Colorado)"	1.436	1.21	1.301	1.235	2	1.057
DEN02	20150602	2	Tue	LAN	NL	52	COL	NL	51	9	8	54	LAN	"Coors Field(Denver, Colorado)"	1.436	1.21	1.301	1.235	2	1.057
MIA02	20150602	0	Tue	CHN	NL	50	MIA	NL	53	2	5	51	MIA	"Marlins Park(Miami, Florida)"	0.95	0.74	0.99	0.94	1.226	1.078
PHI13	20150602	0	Tue	CIN	NL	50	PHI	NL	53	4	5	52	PHI	"Citizens Bank Park(Philadelphia, Pennsylvania)"	1.038	1.14	0.977	0.946	0.667	1.049
SAN02	20150602	0	Tue	NYN	NL	53	SDN	NL	54	2	7	51	SDN	"Petco Park(San Diego, California)"	0.931	1.085	0.966	0.956	0.792	0.992
