ParkCode	Date	Type#	Day	VisitTeam	VisitLeague	VisitGame#	HomeTeam	HomeLeague	HomeGame#	VisitScore	HomeScore	GameLength	Winner	PARK NAME	RUNS	HR	H	2B	3B	BB
DEN02	20150721	0	Tue	TEX	AL	93	COL	NL	92	9	0	54	TEX	"Coors Field(Denver, Colorado)"	1.436	1.21	1.301	1.235	2	1.057
MIL06	20150721	0	Tue	CLE	AL	92	MIL	NL	94	1	8	51	MIL	"Miller Park(Milwaukee, Wisconsin)"	1.103	1.432	1.01	1.07	1.161	1.006
PHI13	20150721	0	Tue	TBA	AL	96	PHI	NL	96	1	0	54	TBA	"Citizens Bank Park(Philadelphia, Pennsylvania)"	1.038	1.14	0.977	0.946	0.667	1.049
SAN02	20150721	0	Tue	SFN	NL	94	SDN	NL	94	9	3	54	SFN	"Petco Park(San Diego, California)"	0.931	1.085	0.966	0.956	0.792	0.992
WAS11	20150721	0	Tue	NYN	NL	94	WAS	NL	92	7	2	54	NYN	"Nationals Park(Washington, D.C.)"	1	1.025	0.992	1.049	0.5	1.043
ANA01	20150722	0	Wed	MIN	AL	94	ANA	AL	94	2	5	51	ANA	"Angel Stadium of Anaheim(Anaheim, California)"	0.861	0.921	0.939	0.863	0.739	1.025
CHI12	20150722	0	Wed	SLN	NL	94	CHA	AL	92	3	2	54	SLN	"Guaranteed Rate Field(Chicago, Illinois)"	0.904	1.113	0.953	0.873	0.833	1.234
DET05	20150722	0	Wed	SEA	AL	95	DET	AL	94	4	9	51	DET	"Comerica Park(Detroit, Michigan)"	0.902	0.791	0.966	0.977	1.353	0.988
HOU03	20150722	0	Wed	BOS	AL	95	HOU	AL	96	2	4	51	HOU	"Minute Maid Park(Houston, Texas)"	0.927	1.1	0.954	0.963	1.52	0.951
KAN06	20150722	0	Wed	PIT	NL	94	KCA	AL	93	1	5	51	KCA	"Kauffman Stadium(Kansas City, Missouri)"	1.019	0.793	0.995	1.221	1.455	0.892
NYC21	20150722	0	Wed	BAL	AL	93	NYA	AL	93	3	4	51	NYA	"Yankee Stadium(New York, New York)"	1.022	1.251	0.975	0.887	0.63	1
OAK01	20150722	0	Wed	TOR	AL	96	OAK	AL	96	3	4	59	OAK	"Oakland Coliseum(Oakland, California)"	0.944	0.777	0.964	0.967	1.185	0.906
PHO01	20150722	0	Wed	MIA	NL	95	ARI	NL	93	5	3	54	MIA	"Chase Field(Phoenix, Arizona)"	1.062	0.856	1.047	1.207	1.786	1.025
ATL02	20150722	0	Wed	LAN	NL	96	ATL	NL	95	3	1	54	LAN	"Turner Field(Cumberland, Georgia)"	0.937	0.72	0.915	0.971	0.759	1.114
CIN09	20150722	1	Wed	CHN	NL	93	CIN	NL	92	1	9	51	CIN	"Great American Ball Park(Cincinnati, Ohio)"	1.115	1.137	1.075	1.043	0.444	1.101
CIN09	20150722	2	Wed	CHN	NL	94	CIN	NL	93	6	5	54	CHN	"Great American Ball Park(Cincinnati, Ohio)"	1.115	1.137	1.075	1.043	0.444	1.101
DEN02	20150722	0	Wed	TEX	AL	94	COL	NL	93	10	8	54	TEX	"Coors Field(Denver, Colorado)"	1.436	1.21	1.301	1.235	2	1.057
MIL06	20150722	0	Wed	CLE	AL	93	MIL	NL	95	7	5	54	CLE	"Miller Park(Milwaukee, Wisconsin)"	1.103	1.432	1.01	1.07	1.161	1.006
PHI13	20150722	0	Wed	TBA	AL	97	PHI	NL	97	4	5	59	PHI	"Citizens Bank Park(Philadelphia, Pennsylvania)"	1.038	1.14	0.977	0.946	0.667	1.049
SAN02	20150722	0	Wed	SFN	NL	95	SDN	NL	95	7	1	54	SFN	"Petco Park(San Diego, California)"	0.931	1.085	0.966	0.956	0.792	0.992
WAS11	20150722	0	Wed	NYN	NL	95	WAS	NL	93	3	4	51	WAS	"Nationals Park(Washington, D.C.)"	1	1.025	0.992	1.049	0.5	1.043
ANA01	20150723	0	Thu	MIN	AL	95	ANA	AL	95	3	0	54	MIN	"Angel Stadium of Anaheim(Anaheim, California)"	0.861	0.921	0.939	0.863	0.739	1.025
CLE08	20150723	0	Thu	CHA	AL	93	CLE	AL	94	8	1	54	CHA	"Progressive Field(Cleveland, Ohio)"	1.261	0.986	1.169	1.44	0.774	1.115
DET05	20150723	0	Thu	SEA	AL	96	DET	AL	95	3	2	72	SEA	"Comerica Park(Detroit, Michigan)"	0.902	0.791	0.966	0.977	1.353	0.988
HOU03	20150723	0	Thu	BOS	AL	96	HOU	AL	97	4	5	52	HOU	"Minute Maid Park(Houston, Texas)"	0.927	1.1	0.954	0.963	1.52	0.951
NYC21	20150723	0	Thu	BAL	AL	94	NYA	AL	94	3	9	51	NYA	"Yankee Stadium(New York, New York)"	1.022	1.251	0.975	0.887	0.63	1
OAK01	20150723	0	Thu	TOR	AL	97	OAK	AL	97	5	2	54	TOR	"Oakland Coliseum(Oakland, California)"	0.944	0.777	0.964	0.967	1.185	0.906
PHO01	20150723	0	Thu	MIL	NL	96	ARI	NL	94	3	8	51	ARI	"Chase Field(Phoenix, Arizona)"	1.062	0.856	1.047	1.207	1.786	1.025
NYC20	20150723	0	Thu	LAN	NL	97	NYN	NL	96	3	0	54	LAN	"Citi Field(New York, New York)"	0.87	0.994	0.912	0.934	0.905	0.998
PIT08	20150723	0	Thu	WAS	NL	94	PIT	NL	95	3	7	51	PIT	"PNC Park(Pittsburgh, Pennsylvania)"	0.933	1.083	0.962	0.874	0.821	1
