index,Date,Visiting_Team,Visiting_League,Visiting_Team_Game,Home_Team,Home_League,Home_Team_Game,Visiting_Score,Home_Score,Length_in_Outs,Park_Code,Visit_Bats,Visit_Hits,Visit_Doubles,Visit_Triples,Visit_Homeruns,Visit_RBI,Visit_Putouts,Visit_Assist,Visit_Errors,Visit_Passed_Balls,Visit_Double_Plays,Visit_Tripple_Plays,Home_bats,Home_Hits,Home_Doubles,Home_Triples,Home_Homeruns,Home_RBI,Home_Putouts,Home_Assist,Home_Errors,Home_Passed_Balls,Home_Double_Plays,Home_Triple_Plays,bln_home_win,diff_hr,diff_hits,diff_doubles,diff_triples,diff_rbi,diff_putouts,diff_errors,diff_assist,diff_at_bats
40,20170406,ATL,NL,3,NYN,NL,3,2.0,6.0,51,NYC20,32,6,0,0,2,2,24,10,1,0,1,0,31,8,3,0,1,5,27,6,0,0,1,0,1,4,2,3,0,3,3,-1,-4,-1
41,20170406,CHN,NL,3,SLN,NL,3,6.0,4.0,54,STL10,38,10,1,0,1,6,27,12,2,0,1,0,34,7,2,0,0,4,27,8,1,0,0,0,0,-2,-3,1,0,-2,0,-1,-4,-4
42,20170406,MIA,NL,3,WAS,NL,3,4.0,3.0,60,WAS11,40,14,1,0,1,4,30,8,0,0,2,0,36,8,1,0,3,3,30,13,0,1,4,0,0,-1,-6,0,0,-1,0,0,5,-4
43,20170406,DET,AL,2,CHA,AL,2,2.0,11.0,51,CHI12,30,4,2,0,1,2,24,4,2,1,0,0,34,10,1,1,3,11,27,8,1,0,2,0,1,9,6,-1,1,9,3,-1,4,4
44,20170406,SEA,AL,4,HOU,AL,4,4.0,2.0,54,HOU03,33,7,0,0,1,4,27,7,1,0,2,0,32,6,0,0,2,2,27,9,0,0,1,0,0,-2,-1,0,0,-2,0,-1,2,-1
45,20170406,KCA,AL,3,MIN,AL,3,3.0,5.0,51,MIN04,35,9,1,0,2,2,24,4,0,0,0,0,33,9,3,0,0,5,27,8,0,0,1,0,1,2,0,2,0,3,3,0,4,-2
46,20170406,ANA,AL,4,OAK,AL,4,1.0,5.0,51,OAK01,32,5,0,0,0,1,24,5,1,0,0,0,28,5,1,0,1,4,27,9,2,0,0,0,1,4,0,1,0,3,3,1,4,-4
47,20170406,TOR,AL,3,TBA,AL,4,5.0,2.0,54,STP01,32,5,0,0,1,4,27,13,0,0,4,0,31,8,3,0,0,1,27,6,1,0,1,0,0,-3,3,3,0,-3,0,1,-7,-1
48,20170407,CLE,AL,4,ARI,NL,5,3.0,7.0,51,PHO01,34,6,2,0,1,3,24,8,0,0,1,0,34,11,3,1,0,7,27,5,1,0,0,0,1,4,5,1,1,4,3,1,-3,0
49,20170407,LAN,NL,5,COL,NL,5,1.0,2.0,51,DEN02,30,5,2,0,0,1,24,6,2,0,2,0,30,6,1,0,1,2,27,12,0,0,1,0,1,1,1,-1,0,1,3,-2,6,0
50,20170407,CHN,NL,4,MIL,NL,5,1.0,2.0,64,MIL06,36,6,0,0,1,1,31,10,0,0,0,0,38,7,1,0,0,1,33,13,1,0,3,0,1,1,1,1,0,0,2,1,3,2
51,20170407,MIA,NL,4,NYN,NL,4,7.0,2.0,54,NYC20,37,11,0,1,1,7,27,10,0,0,1,0,35,9,2,0,1,2,27,11,0,0,1,0,0,-5,-2,2,-1,-5,0,0,1,-2
52,20170407,WAS,NL,4,PHI,NL,4,7.0,6.0,54,PHI13,35,11,2,0,3,7,27,5,0,0,0,0,35,9,3,0,2,6,27,8,0,0,3,0,0,-1,-2,1,0,-1,0,0,3,0
53,20170407,ATL,NL,4,PIT,NL,3,4.0,5.0,51,PIT08,36,10,3,0,0,4,24,9,2,0,0,0,35,11,1,0,2,5,27,12,1,0,2,0,1,1,1,-2,0,1,3,-1,3,-1
