Date	Visiting Team	Visiting League	Visiting Team Game	Home Team	Home League	Home Team Game	Visiting Score	Home Score	Length in Outs	Park Code	Visit Bats	Visit Hits	Visit Doubles	Visit Triples	Visit Homeruns	Visit RBI	Visit Putouts	Visit Assist	Visit Errors	Visit Passed Balls	Visit Double Plays	Visit Tripple Plays	Home bats	Home Hits	Home Doubles	Home Triples	Home Homeruns	Home RBI	Home Putouts	Home Assist	Home Errors	Home Passed Balls	Home Double Plays	Home Triple Plays
20150411	PIT	NL	5	MIL	NL	5	0	6	51	MIL06	26	2	0	0	0	0	24	9	0	0	0	0	30	7	5	0	1	6	27	10	0	0	2	0
20150411	WAS	NL	5	PHI	NL	5	2	3	58	PHI13	36	7	1	0	1	2	28	15	1	0	0	0	41	13	5	0	0	3	30	16	0	0	0	0
20150411	SFN	NL	6	SDN	NL	6	2	10	51	SAN02	33	5	1	0	1	2	24	3	1	0	1	0	42	20	4	0	0	10	27	8	2	0	1	0
20150412	KCA	AL	6	ANA	AL	6	9	2	54	ANA01	41	14	3	2	1	9	27	9	1	0	1	0	30	5	1	0	1	1	27	6	1	0	1	0
20150412	TOR	AL	6	BAL	AL	6	10	7	54	BAL12	36	10	3	0	3	10	27	9	0	0	1	0	35	8	0	0	2	7	27	4	0	0	0	0
20150412	MIN	AL	6	CHA	AL	6	2	6	51	CHI12	34	7	2	0	0	2	24	5	2	0	0	0	37	12	1	0	2	6	27	8	0	0	1	0
20150412	DET	AL	6	CLE	AL	6	8	5	54	CLE08	36	11	2	0	3	7	27	11	1	0	0	0	36	9	2	0	0	5	27	13	1	0	1	0
20150412	BOS	AL	6	NYA	AL	6	4	14	51	NYC21	35	8	1	0	1	4	24	10	1	0	2	0	36	16	1	0	3	14	27	6	1	0	1	0
20150412	SEA	AL	6	OAK	AL	7	8	7	60	OAK01	37	7	1	0	2	6	30	17	1	0	3	0	41	14	4	1	0	5	30	10	2	1	1	0
20150412	HOU	AL	6	TEX	AL	7	6	4	84	ARL02	50	11	1	1	3	6	42	16	0	0	1	0	49	9	1	0	0	4	42	15	1	0	4	0
20150412	LAN	NL	6	ARI	NL	6	7	4	54	PHO01	40	16	3	1	3	7	27	10	2	0	1	0	36	10	3	0	0	4	27	15	1	0	1	0
20150412	NYN	NL	6	ATL	NL	6	4	3	54	ATL02	32	9	1	0	1	4	27	10	0	0	0	0	34	7	1	1	1	3	27	13	0	0	2	0
20150412	SLN	NL	5	CIN	NL	6	7	5	66	CIN09	39	10	3	0	2	7	33	9	0	0	0	0	43	11	1	0	2	5	33	11	0	1	1	0
20150412	CHN	NL	5	COL	NL	6	6	5	54	DEN02	33	7	2	0	1	6	27	9	0	0	0	0	37	11	4	1	0	5	27	11	4	0	2	0
20150412	TBA	AL	6	MIA	NL	6	8	5	54	MIA02	39	14	6	1	1	8	27	9	1	0	0	0	35	8	2	1	1	5	27	12	1	0	1	0
20150412	PIT	NL	6	MIL	NL	6	10	2	54	MIL06	39	13	1	0	2	10	27	10	0	0	0	0	31	5	2	0	1	2	27	11	1	0	0	0
20150412	WAS	NL	6	PHI	NL	6	4	3	60	PHI13	37	9	2	0	1	3	30	5	1	0	0	0	39	9	0	0	1	3	30	13	0	0	0	0
20150412	SFN	NL	7	SDN	NL	7	4	6	51	SAN02	33	7	1	1	1	4	24	7	0	0	1	0	32	9	1	2	2	6	27	9	0	1	1	0
20150413	NYA	AL	7	BAL	AL	7	6	5	54	BAL12	32	7	0	0	3	6	27	13	0	0	0	0	35	11	3	0	1	5	27	9	0	0	1	0
20150413	WAS	NL	7	BOS	AL	7	4	9	51	BOS07	32	4	0	1	2	4	24	13	1	0	3	0	34	13	0	0	2	9	27	9	2	0	1	0
20150413	OAK	AL	8	HOU	AL	7	8	1	54	HOU03	37	12	2	0	3	8	27	10	0	0	1	0	31	5	1	0	1	1	27	13	2	0	3	0
20150413	KCA	AL	7	MIN	AL	7	12	3	54	MIN04	38	13	3	0	1	10	27	9	0	0	2	0	31	7	2	0	1	3	27	12	2	1	1	0
20150413	ANA	AL	7	TEX	AL	8	6	3	54	ARL02	38	12	1	0	2	6	27	4	1	0	0	0	33	7	2	0	0	3	27	7	0	0	0	0
